OTUID	AmzC5chldM.418590	USinfTw10.2.418840	h257B.1.418419	AmzC3babyF.418526	AmzC5chldF.418839	AmzC15infF.418468	USinfTw19.2.418595	USinfTw4.2.418348	USinfTw4.1.418637	h209B.2.418447	h209A.2.418702	Amz7adltF.418395	F4T1pre4.418431	USinfTw18.2.418796	USchp33ChildA.418742	USinfTw11.2.418340	USinfTw7.2.418463	USchp60Mom.418566	USBldChld8.418589	Amz1teenF.418404	AmzC14infF.418354	USBldChld2.418414	USBldChld5.418733	USchp18Child.418782	USchp18Mom.418783	USchp33ChildB.418578	USinfTw17.1.418390	USinfTw18.1.418513	USinfTw7.1.418386	h257A.1.418826	h37A.1.418724	USBldChld4.418528	USinfTw8.1.418366	h10M.1.418706	Amz3chldM1.418601	Amz5chldF1.418757	Amz5teenF.418519	AmzC5adltF.418439	h95M.1.418831	Amz3chldM2.418434	Amz7eldM.418423	USchp33Mom.418698	h257M.1.418454	h37M.1.418863	F3T1pre4.418699	Amz5chldF2.418405	USinfTw9.1.418845	AmzC1babyF2.418461	USinfTw1.2.418491	Amz2adltF.418633	h301M.1.418627	h95S.1.418544	USinfTw11.1.418800	USBldChld10.418660	h95A.1.418344	Amz2infF.418430	F3T2pre4.418583	F4T2pre4.418418	h121B.1.418650	USinfTw19.1.418798	AmzC2babyF.418803	USinfTw3.2.418812	h47A.1.418772	USinfTw3.1.418387	h95B.1.418735	h37B.1.418707	USinfTw15.1.418587	USinfTw12.1.418649	USinfTw9.2.418769	USinfTw13.2.418343	USinfTw13.1.418775	USinfTw15.2.418748	USinfTw8.2.418804	USinfTw16.2.418641	USinfTw10.1.418518	Amz1baby.418645	Amz9baby.418635	USinfTw21.1.418467	USinfTw5.1.418422	USinfTw21.2.418540	USinfTw1.1.418752	USinfTw12.2.418448	USinfTw16.1.418781	USinfTw2.2.418678	h301B.1.418486	USinfTw20.2.418696	USinfTw6.1.418613	USinfTw6.2.418594	USinfTw5.2.418695	h121A.1.418420	h301A.1.418425	USinfTw2.1.418478	USinfTw20.1.418640	Amz10baby.418545	h10A.1.418427	h47B.1.418571
k__Bacteria;p__Acidobacteria;c__Sva0725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	716358.0	475419.0	848004.0	472715.0	336906.0	462563.0	402242.0	1008234.0	786093.0	558888.0	578565.0	5731.0	50362.0	691744.0	193847.0	741033.0	8452.0	48854.0	790.0	142223.0	244599.0	42011.0	43017.0	211564.0	303895.0	27526.0	212648.0	527923.0	9576.0	961998.0	512759.0	44177.0	305115.0	489.0	1994.0	3995.0	28264.0	5984.0	673.0	10145.0	12492.0	38510.0	16359.0	695.0	149.0	45723.0	421546.0	642860.0	444.0	1729.0	380.0	234.0	418939.0	102929.0	475297.0	1028023.0	560.0	483.0	282977.0	569363.0	873991.0	543063.0	270277.0	827065.0	710385.0	435215.0	339067.0	2685.0	240679.0	400579.0	464695.0	401707.0	719923.0	409072.0	699151.0	731205.0	1599866.0	899054.0	647310.0	682927.0	12155.0	634.0	172395.0	66779.0	947091.0	4653.0	1274642.0	985525.0	529238.0	547773.0	746969.0	20508.0	1747.0	1229892.0	687779.0	260675.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	96.0	1865.0	1036.0	276.0	8.0	50908.0	2320.0	3.0	546.0	158.0	36.0	7544.0	7108.0	1777.0	13812.0	3505.0	4069.0	6885.0	802.0	15181.0	8340.0	3488.0	4383.0	2401.0	4665.0	4270.0	9222.0	19708.0	11519.0	26892.0	24652.0	18755.0	6814.0	12057.0	16944.0	6177.0	28561.0	2688.0	1955.0	8693.0	6467.0	12129.0	1570.0	7439.0	1999.0	18477.0	4456.0	16203.0	1.0	3260.0	16012.0	2044.0	1565.0	2944.0	5900.0	41869.0	29974.0	3576.0	15211.0	909.0	303.0	1236.0	10206.0	1206.0	8280.0	10386.0	14275.0	64.0	9715.0	2441.0	3947.0	4930.0	2622.0	3056.0	1336.0	25.0	6388.0	350.0	1848.0	261.0	5.0	490.0	538.0	3.0	74.0	864.0	1144.0	1666.0	1892.0	21080.0	1037.0	5.0	2785.0	214027.0	22446.0	7375.0
k__Bacteria;p__Actinobacteria;c__Nitriliruptoria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Rubrobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Armatimonadetes;c__Armatimonadia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
k__Bacteria;p__BRC1;c__PRR-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	5102.0	382.0	811.0	7114.0	1258.0	494024.0	247.0	186.0	161.0	1996.0	3286.0	491765.0	770134.0	190505.0	291316.0	9621.0	35814.0	98969.0	403928.0	947156.0	1048842.0	905416.0	518018.0	453969.0	214497.0	1024761.0	391448.0	403180.0	129731.0	105795.0	93715.0	452106.0	661900.0	269969.0	1330313.0	881098.0	655591.0	365149.0	546107.0	364739.0	300614.0	339375.0	821845.0	434147.0	522705.0	340889.0	390815.0	501881.0	123.0	712408.0	423630.0	610049.0	387389.0	526844.0	356292.0	66925.0	284945.0	928164.0	544764.0	5069.0	2429.0	285996.0	343803.0	87177.0	257372.0	188219.0	764769.0	445.0	499877.0	354716.0	372179.0	382089.0	139220.0	366224.0	434.0	1712.0	1363.0	35076.0	247.0	1164.0	392.0	480.0	689646.0	391.0	452.0	215.0	394.0	300.0	270.0	479286.0	3927.0	344.0	243.0	2685.0	133047.0	227205.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	6.0	0.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	17.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	53.0	45.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	67.0	1.0	3.0	0.0	0.0	0.0	30.0	0.0	8.0	0.0	0.0	4.0	0.0	78.0	19.0	20.0	3.0	3.0	2.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	4.0	0.0	1.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	1.0	0.0	44.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	8.0	0.0	7.0	3.0	5.0	1.0	0.0	28.0	3.0	3.0	1.0	23.0	1.0	7.0	26.0	0.0	1.0	2.0	87.0	0.0	6.0	0.0	0.0	1.0	0.0	1.0	0.0	7.0	0.0	0.0	2.0	0.0	159.0	39.0	1.0	1.0	0.0	0.0	14.0	0.0	0.0	178.0	3.0	2.0	0.0	0.0	0.0	132.0	0.0	31.0	0.0	0.0	10.0	0.0	241.0	120.0	73.0	2.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
